Nome;Classe;Codgio;TipodeAtivo;PaisSede;Status;SetorEconomatica;SetorNAICS
Ceee-Gt;PN;EEEL4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Elektro;ON;EKTR3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Elektro;PN;EKTR4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Elevad Atlas;ON;ELAT3;Acao;BR;cancelado;Maquinas Indust;Industria de maquinas industriais
Elekeiroz;ON;ELEK3;Acao;BR;ativo;Quimica;Industria quimica basica
Elekeiroz;PN;ELEK4;Acao;BR;ativo;Quimica;Industria quimica basica
Eletrobras;ON;ELET3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eletrobras;PNA;ELET5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eletrobras;PNB;ELET6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eleva;ON;ELEV3;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Eletropaulo (Old);PNB;ELPL11-old;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eletropaulo;ON;ELPL3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eletropaulo;PN;ELPL4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eletropaulo;PNA;ELPL5;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eluma;ON;ELUM3;Acao;BR;cancelado;Siderur & Metalur;Industria de ferramentas de metal nao motorizadas e cutelaria
Eluma;PN;ELUM4;Acao;BR;cancelado;Siderur & Metalur;Industria de ferramentas de metal nao motorizadas e cutelaria
Emae;ON;EMAE3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Emae;PN;EMAE4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Embraer;ON;EMBR3;Acao;BR;ativo;Veiculos e pecas;Industria de equipamentos aeroespacias
Embraer;PN;EMBR4;Acao;BR;cancelado;Veiculos e pecas;Industria de equipamentos aeroespacias
Geral de Concreto;PN;EMXS4;Acao;BR;cancelado;Construcao;Empreiteiro de concretamento
Energias BR;ON;ENBR3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Enersul;ON;ENER3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Enersul;PNA;ENER5;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Enersul;PNB;ENER6;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eneva;ON;ENEV3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Engesa;PNA;ENG5;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Energisa;UNT N2;ENGI11;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Energisa;ON;ENGI3;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Energisa;PN;ENGI4;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Cemar;ON;ENMA3B;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cemar;PNA;ENMA5B;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cemar;PNB;ENMA6B;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Epte;PN;EPTE4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Equatorial;UNT N2;EQTL11;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Equatorial;ON;EQTL3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Equatorial;PN;EQTL4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ericsson;ON;ERIC3;Acao;BR;cancelado;Eletroeletronicos;Industria de equipamentos de comunicacao
Ericsson;PN;ERIC4;Acao;BR;cancelado;Eletroeletronicos;Industria de equipamentos de comunicacao
Escelsa;ON;ESCE3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Eternit;ON;ETER3;Acao;BR;ativo;Minerais nao Met;Industria de outros produtos de minerais nao metalicos
Eternit;PN;ETER4;Acao;BR;cancelado;Minerais nao Met;Industria de outros produtos de minerais nao metalicos
Even;ON;EVEN3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Eztec;ON;EZTC3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Cofap;PN;FAPC4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Fibam;ON;FBMC3;Acao;BR;ativo;Siderur & Metalur;Industria de parafusos, arruelas, porcas e produtos torneados
Fibam;PN;FBMC4;Acao;BR;ativo;Siderur & Metalur;Industria de parafusos, arruelas, porcas e produtos torneados
Fertibras;ON;FBRA3;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Fertibras;PN;FBRA4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Sam Industr;ON;FCAP3;Acao;BR;cancelado;Siderur & Metalur;Industria de ferramentas de metal nao motorizadas e cutelaria
Sam Industr;PN;FCAP4;Acao;BR;cancelado;Siderur & Metalur;Industria de ferramentas de metal nao motorizadas e cutelaria
Ferbasa;ON;FESA3;Acao;BR;ativo;Siderur & Metalur;Fundicao
Ferbasa;PN;FESA4;Acao;BR;ativo;Siderur & Metalur;Fundicao
Valefert;ON;FFTL3;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Valefert;PN;FFTL4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Frangosul;PN;FGOS4;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
F Guimaraes;ON;FGUI3;Acao;BR;cancelado;Textil;Tecelagens
F Guimaraes;PN;FGUI4;Acao;BR;cancelado;Textil;Tecelagens
Fer Heringer;ON;FHER3;Acao;BR;ativo;Quimica;Industria de fertilizantes e pesticidas
Fibria;ON;FIBR3;Acao;BR;ativo;Papel e Celulose;Industria de papel , celulose e papelao
Forja Taurus;ON;FJTA3;Acao;BR;ativo;Siderur & Metalur;Outras industrias de produtos de metal
Forja Taurus;PN;FJTA4;Acao;BR;ativo;Siderur & Metalur;Outras industrias de produtos de metal
Fer Demellot;ON;FLBR3;Acao;BR;cancelado;Siderur & Metalur;Industria de produtos de metal
Fer Demellot;PN;FLBR4;Acao;BR;cancelado;Siderur & Metalur;Industria de produtos de metal
F Cataguazes;ON;FLCL3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
F Cataguazes;PNA;FLCL5;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
F Cataguazes;PNB;FLCL6;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Fras-Le;ON;FRAS3;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
Fras-Le;PN;FRAS4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Frigobras;ON;FRI3;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Frigobras;PN;FRI4;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Metalfrio;ON;FRIO3;Acao;BR;ativo;Maquinas Indust;Industria de equipamentos de refrigeracao
BR Ferrovias;ON;FRPS3;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
BR Ferrovias;PN;FRPS4;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
All Norte;ON;FRRN3B;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
All Norte;PNA;FRRN5B;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
All Norte;PNB;FRRN6B;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
Fab C Renaux;ON;FTRX3;Acao;BR;cancelado;Textil;Tecelagens
Fab C Renaux;PN;FTRX4;Acao;BR;cancelado;Textil;Tecelagens
Ferti Serrana;PN;FTSE4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Fertisul;PN;FTSU4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Fertiza;PN;FTZA4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Cimob Partic;ON;GAFP3;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
Cimob Partic;PN;GAFP4;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
Maio Gallo;PN;GALO4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Gazola;ON;GAZO3;Acao;BR;cancelado;Siderur & Metalur;Forjarias e estamparias
Gazola;PN;GAZO4;Acao;BR;cancelado;Siderur & Metalur;Forjarias e estamparias
Ger Paranap;ON;GEPA3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ger Paranap;PN;GEPA4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
AES Tiete;ON;GETI3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
AES Tiete;PN;GETI4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Gafisa;ON;GFSA3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Gafisa;PNA;GFSA5;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
Gerdau;ON;GGBR3;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Gerdau;PN;GGBR4;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Viavarejo;PN;GLOB4;Acao;BR;cancelado;Comercio;Loja de departamentos
Neoenergia;ON;GNAN3B;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Gerdau Met;ON;GOAU3;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Gerdau Met;PN;GOAU4;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Gol;ON;GOLL3;Acao;BR;ativo;Transporte Servic;Transporte aereo regular
Gol;PN;GOLL4;Acao;BR;ativo;Transporte Servic;Transporte aereo regular
Celgpar;ON;GPAR3;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Grendene;ON;GRND3;Acao;BR;ativo;Textil;Industria de calcados
Granoleo;ON;GRNL3;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Granoleo;PN;GRNL4;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Gtd Partic;ON;GTDP3B;Acao;BR;cancelado;Energia Eletrica;Empresa de eletricidade, gas e agua
Gtd Partic;PN;GTDP4B;Acao;BR;cancelado;Energia Eletrica;Empresa de eletricidade, gas e agua
Guararapes;ON;GUAR3;Acao;BR;ativo;Textil;Industria de roupas de tecido
Guararapes;PN;GUAR4;Acao;BR;ativo;Textil;Industria de roupas de tecido
GVT Holding;ON;GVTT3;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Haga S/A;ON;HAGA3;Acao;BR;ativo;Siderur & Metalur;Industria de ferragens
Haga S/A;PN;HAGA4;Acao;BR;ativo;Siderur & Metalur;Industria de ferragens
Helbor;ON;HBOR3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Hercules;ON;HETA3;Acao;BR;ativo;Siderur & Metalur;Industria de ferramentas de metal nao motorizadas e cutelaria
Hercules;PN;HETA4;Acao;BR;ativo;Siderur & Metalur;Industria de ferramentas de metal nao motorizadas e cutelaria
Cia Hering;ON;HGTX3;Acao;BR;ativo;Textil;Industria de roupas de malha
Cia Hering;PN;HGTX4;Acao;BR;cancelado;Textil;Industria de roupas de malha
Hering Text;PN;HGTX4-old;Acao;BR;cancelado;Textil;Outras industrias de tecidos
Hrt Petroleo;ON;HRTP3;Acao;BR;ativo;Petroleo e Gas;Extracao de petroleo e gas
Antarct Nordeste;ON;IBAN3;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Antarct Nordeste;PNA;IBAN5;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Antarctica Pi;PNA;IBPI5;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Antarctica Pi;PNB;IBPI6;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Inbrac;PN;IBRC4;Acao;BR;cancelado;Eletroeletronicos;Industria de computadores e produtos eletronicos
Cim Itau;ON;ICPI3;Acao;BR;cancelado;Minerais nao Met;Industria de cimento e produtos de concreto
Cim Itau;PN;ICPI4;Acao;BR;cancelado;Minerais nao Met;Industria de cimento e produtos de concreto
Bompreco Bah;ON;IDCO3;Acao;BR;cancelado;Comercio;Loja de departamentos
Bompreco Bah;PN;IDCO4;Acao;BR;cancelado;Comercio;Loja de departamentos
Ienergia;ON;IENG3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ienergia;PNA;IENG5;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ienergia;PNB;IENG6;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
IGB S/A;ON;IGBR3;Acao;BR;ativo;Eletroeletronicos;Industria de equipamentos de audio e video
IGB S/A;PNA;IGBR5;Acao;BR;cancelado;Eletroeletronicos;Industria de equipamentos de audio e video
IGB S/A;PNB;IGBR6;Acao;BR;cancelado;Eletroeletronicos;Industria de equipamentos de audio e video
IGB S/A;PNC;IGBR7;Acao;BR;cancelado;Eletroeletronicos;Industria de equipamentos de audio e video
Iguacu Cafe;ON;IGUA3;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Iguacu Cafe;PNA;IGUA5;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Iguacu Cafe;PNB;IGUA6;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Linhas Circulo;PN;ILLS4;Acao;BR;cancelado;Textil;Industria de fios
Yara Brasil;ON;ILMD3;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Yara Brasil;PN;ILMD4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Doc Imbituba;ON;IMBI3;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte aquatico
Doc Imbituba;PN;IMBI4;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte aquatico
Imc Holdings;ON;IMCH3;Acao;BR;ativo;Comercio;Loja de comida e bebida
Imperio;PN;IMPE4;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Inepar Tel;ON;INET3;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Anglo Brazil;ON;IRON3;Acao;BR;cancelado;Mineracao;Mineracao de metais
Itautec;ON;ITEC3;Acao;BR;ativo;Eletroeletronicos;Industria de computadores e perifericos
Antarctica MG;PNA;ITLM5;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Iven;ON;IVEN3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Iven;PN;IVEN4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Coinvest;PN;IVIL4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Invepar;ON;IVPR3B;Acao;BR;cancelado;Transporte Servic;Outras atividades auxiliares ao transporte
Invepar;PN;IVPR4B;Acao;BR;cancelado;Transporte Servic;Outras atividades auxiliares ao transporte
J B Duarte;ON;JBDU3;Acao;BR;ativo;Alimentos e Beb;Industria de alimentos
J B Duarte;PN;JBDU4;Acao;BR;ativo;Alimentos e Beb;Industria de alimentos
JBS;ON;JBSS3;Acao;BR;ativo;Alimentos e Beb;Abatedouros
Jaragua Fabril;PN;JFAB4;Acao;BR;cancelado;Textil;Tecelagens
Joao Fortes;ON;JFEN3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
JHSF Part;ON;JHSF3;Acao;BR;ativo;Construcao;Construcao e empreendimentos imobiliarios
Josapar;ON;JOPA3;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Josapar;PN;JOPA4;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
JSL;ON;JSLG3;Acao;BR;ativo;Transporte Servic;Transporte rodoviario
Kepler Weber;ON;KEPL3;Acao;BR;ativo;Siderur & Metalur;Industria de estruturas metalicas
Klabin S/A;UNT N2;KLBN11;Acao;BR;ativo;Papel e Celulose;Industria de papel , celulose e papelao
Klabin S/A;ON;KLBN3;Acao;BR;ativo;Papel e Celulose;Industria de papel , celulose e papelao
Klabin S/A;PN;KLBN4;Acao;BR;ativo;Papel e Celulose;Industria de papel , celulose e papelao
Klabinsegall;ON;KSSA3;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Lojas Americ;ON;LAME3;Acao;BR;ativo;Comercio;Loja de departamentos
Lojas Americ;PN;LAME4;Acao;BR;ativo;Comercio;Loja de departamentos
Rexam Bcsa;ON;LATS3;Acao;BR;cancelado;Siderur & Metalur;Industria de produtos de metal
Leco;ON;LECO3;Acao;BR;cancelado;Alimentos e Beb;Industria de laticinios
Leco;PN;LECO4;Acao;BR;cancelado;Alimentos e Beb;Industria de laticinios
Micheletto;ON;LETO3;Acao;BR;cancelado;Siderur & Metalur;Industria de parafusos, arruelas, porcas e produtos torneados
Micheletto;PNA;LETO5;Acao;BR;cancelado;Siderur & Metalur;Industria de parafusos, arruelas, porcas e produtos torneados
Metal Leve;ON;LEVE3;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
Metal Leve;PN;LEVE4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
La Fonte Tel;ON;LFFE3;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
La Fonte Tel;PN;LFFE4;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Livr Globo;ON;LGLO3;Acao;BR;cancelado;Comercio;Loja de livros, jornais e musica
Livr Globo;PN;LGLO4;Acao;BR;cancelado;Comercio;Loja de livros, jornais e musica
Lojas Hering;ON;LHER3;Acao;BR;ativo;Comercio;Loja de roupas
Lojas Hering;PN;LHER4;Acao;BR;ativo;Comercio;Loja de roupas
Liasa;PN;LIAS4;Acao;BR;cancelado;Minerais nao Met;Industria de outros produtos de minerais nao metalicos
Light S/A;ON;LIGT3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Linx;ON;LINX3;Acao;BR;ativo;Software e Dados;Editoras de software
Eletropar;ON;LIPR3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Brasilit;ON;LITS3;Acao;BR;cancelado;Minerais nao Met;Industria de outros produtos de minerais nao metalicos
Lix da Cunha;ON;LIXC3;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Lix da Cunha;PN;LIXC4;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Le Lis Blanc;ON;LLIS3;Acao;BR;ativo;Textil;Tecelagens
Lojas Arapua;PN;LOAR4;Acao;BR;cancelado;Comercio;Outras lojas de mercadorias variadas
Log-In;ON;LOGN3;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte
Lorenz;PN;LORZ4;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Lojas Renner;ON;LREN3;Acao;BR;ativo;Comercio;Loja de roupas
Lojas Renner;PN;LREN4;Acao;BR;cancelado;Comercio;Loja de roupas
Litel;PRB;LTEL11B;Acao;BR;ativo;Mineracao;Mineracao de metais
Litel;ON;LTEL3B;Acao;BR;ativo;Mineracao;Mineracao de metais
Litel;PNA;LTEL5B;Acao;BR;ativo;Mineracao;Mineracao de metais
Lupatech;ON;LUPA3;Acao;BR;ativo;Siderur & Metalur;Forjarias e estamparias
Cimaf;ON;MAFE3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Magnesita SA;ON;MAGG3;Acao;BR;ativo;Mineracao;Extracao de minerais nao metalicos
Magnesita;ON;MAGS3;Acao;BR;cancelado;Mineracao;Extracao de minerais nao metalicos
Magnesita;PNA;MAGS5;Acao;BR;cancelado;Mineracao;Extracao de minerais nao metalicos
Magnesita;PNC;MAGS7;Acao;BR;cancelado;Mineracao;Extracao de minerais nao metalicos
Bunge Fertilizantes;PN;MAHS4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Makro;ON;MAKR3;Acao;BR;cancelado;Comercio;Outras lojas de mercadorias variadas
Mannesmann;ON;MANM3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Mannesmann;PN;MANM4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Mcom Wireles;ON;MCWS3;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Mcom Wireles;PN;MCWS4;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
M.Diasbranco;ON;MDIA3;Acao;BR;ativo;Alimentos e Beb;Outras industrias de alimentos
Mec Pesada;PN;MEC4;Acao;BR;cancelado;Maquinas Indust;Industria de motores, turbinas e transmissores de energia
Mendes Jr;ON;MEND3;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Mendes Jr;PNA;MEND5;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Mendes Jr;PNB;MEND6;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Mesbla;PN;MESB4;Acao;BR;cancelado;Comercio;Loja de departamentos
Santista Alimentos;ON;MFLU3;Acao;BR;cancelado;Alimentos e Beb;Outras industrias de alimentos
Mangels Indl;ON;MGEL3;Acao;BR;ativo;Siderur & Metalur;Forjarias e estamparias
Mangels Indl;PN;MGEL4;Acao;BR;ativo;Siderur & Metalur;Forjarias e estamparias
Magaz Luiza;ON;MGLU3;Acao;BR;ativo;Comercio;Loja de departamentos
Mahle-Cofap;PN;MLCF4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Melpaper;ON;MLPA3;Acao;BR;cancelado;Papel e Celulose;Industria de produtos de papel e papelao
Melpaper;PN;MLPA4;Acao;BR;cancelado;Papel e Celulose;Industria de produtos de papel e papelao
Lfparticip;ON;MLPP3;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Minasmaquinas;ON;MMAQ3;Acao;BR;ativo;Comercio;Concessionarias de outros veiculos motorizados
Minasmaquinas;PN;MMAQ4;Acao;BR;ativo;Comercio;Concessionarias de outros veiculos motorizados
MMX Miner;ON;MMXM3;Acao;BR;ativo;Mineracao;Mineracao de metais
Mundial;ON;MNDL3;Acao;BR;ativo;Siderur & Metalur;Industria de ferragens
Mundial;PN;MNDL4;Acao;BR;cancelado;Siderur & Metalur;Industria de ferragens
Minupar;ON;MNPR3;Acao;BR;ativo;Alimentos e Beb;Abatedouros
Minupar;PN;MNPR4;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Manasa;ON;MNSA3;Acao;BR;cancelado;Agro e Pesca;Outros cultivos
Manasa;PN;MNSA4;Acao;BR;cancelado;Agro e Pesca;Outros cultivos
Menezes Cort;ON;MNZC3B;Acao;BR;cancelado;Transporte Servic;Outras atividades auxiliares ao transporte
Marfrig;ON;MRFG3;Acao;BR;ativo;Alimentos e Beb;Abatedouros
Mrs Logist;ON;MRSA3B;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
Mrs Logist;PNA;MRSA5B;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
Mrs Logist;PNB;MRSA6B;Acao;BR;cancelado;Transporte Servic;Transporte ferroviario
Marisol;ON;MRSL3;Acao;BR;cancelado;Textil;Industria de roupas de malha
Marisol;PN;MRSL4;Acao;BR;cancelado;Textil;Industria de roupas de malha
MRV;ON;MRVE3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Bunge Brasil;ON;MSAN3;Acao;BR;cancelado;Alimentos e Beb;Industria de alimentos
Bunge Brasil;PN;MSAN4;Acao;BR;cancelado;Alimentos e Beb;Industria de alimentos
Melhor SP;ON;MSPA3;Acao;BR;ativo;Papel e Celulose;Industria de produtos de papel e papelao
Melhor SP;PN;MSPA4;Acao;BR;ativo;Papel e Celulose;Industria de produtos de papel e papelao
Metodo Engenharia;ON;MTDO3;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Metodo Engenharia;PN;MTDO4;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Metodo Engenharia;PNA;MTDO5;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Metodo Engenharia;PNB;MTDO6;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Metodo Engenharia;PNC;MTDO7;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Metodo Engenharia;PND;MTDO8;Acao;BR;cancelado;Construcao;Construcao e empreendimentos imobiliarios
Metal Iguacu;ON;MTIG3;Acao;BR;ativo;Siderur & Metalur;Outras industrias de produtos de metal
Metal Iguacu;PN;MTIG4;Acao;BR;ativo;Siderur & Metalur;Outras industrias de produtos de metal
Metisa;ON;MTSA3;Acao;BR;ativo;Siderur & Metalur;Outras industrias de produtos de metal
Metisa;PN;MTSA4;Acao;BR;ativo;Siderur & Metalur;Outras industrias de produtos de metal
Muller;PN;MULL4;Acao;BR;cancelado;Eletroeletronicos;Industria de eletrodomesticos
Wetzel S/A;ON;MWET3;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
Wetzel S/A;PN;MWET4;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
Iochp-Maxion;ON;MYPK3;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
Iochp-Maxion;PN;MYPK4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Nadir Figuei;ON;NAFG3;Acao;BR;ativo;Minerais nao Met;Industria de vidro e produtos de vidro
Nadir Figuei;PN;NAFG4;Acao;BR;ativo;Minerais nao Met;Industria de vidro e produtos de vidro
Nakata;PN;NAKT4;Acao;BR;cancelado;Veiculos e pecas;Industria de autopecas
Natura;ON;NATU3;Acao;BR;ativo;Comercio;Comercio atacadista de bens nao duraveis variados
VBC Energia;ON;NCNE3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
VBC Energia;PNA;NCNE5;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Newtel Part;ON;NEWT3B;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Nordon Met;ON;NORD3;Acao;BR;ativo;Maquinas Indust;Industria de outros tipos de maquinas
Nortcquimica;ON;NRTQ3;Acao;BR;ativo;Quimica;Industria de remedios
Nutriplant;ON;NUTR3;Acao;BR;ativo;Quimica;Industria de fertilizantes e pesticidas
Oderich;ON;ODER3;Acao;BR;ativo;Alimentos e Beb;Industria de frutas e vegetais em conserva e comidas especiais
Oderich;PN;ODER4;Acao;BR;ativo;Alimentos e Beb;Industria de frutas e vegetais em conserva e comidas especiais
OGX Petroleo;ON;OGXP3;Acao;BR;ativo;Petroleo e Gas;Extracao de petroleo e gas
Oi;ON;OIBR3;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Oi;PN;OIBR4;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Olma;PN;OLMA4;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Olvebra;PN;OLVB4;Acao;BR;cancelado;Alimentos e Beb;Moinho de graos
Daleth Part;ON;OPDL3B;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
